Day;Line;Direction;Stop name;Stop id;Theorical arrival time;Arrival time delay;Departure time delay;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Verdun - Préfecture;SEM:2018;68220;0;38;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Verdun - Préfecture;SEM:2018;68820;0;-36;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2020;67758;0;-60;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2020;68358;0;39;;
11/08/2022;SEM:A;Victor Hugo;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2020;68958;0;-35;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Victor Hugo;SEM:2217;66480;0;2978;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Hubert Dubedout - Maison du Tourisme;SEM:2021;67772;0;1;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Verdun - Préfecture;SEM:2019;67920;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Verdun - Préfecture;SEM:2019;69120;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;67620;0;-11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Albert 1er de Belgique;SEM:2015;68220;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;67672;0;-11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Mounier;SEM:2013;68272;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;67781;0;-11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, MC2: Maison de la Culture;SEM:2011;68381;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;67860;0;-11;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Malherbe;SEM:2009;68460;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;67928;0;-17;;
11/08/2022;SEM:A;L'Etoile;Grenoble, La Bruyère-Parc Jean Verlhac;SEM:2007;68528;0;5;;
11/08/2022;SEM:A;L'Etoile;Grenoble, Arlequin;SEM:2005;67990;0;-10;;
